,ndcItem,ndc9,ndc10,rxcui,splSetIdItem
306,47682021013,47682-210,47682-210-13,308761,0667ec26-c2cd-153c-e054-00144ff88e88
311,63323053108,63323-531,63323-531-08,854241,066f27ec-352c-4051-ba29-248e292690db
313,63323053313,63323-533,63323-533-13,854228,066f27ec-352c-4051-ba29-248e292690db
315,63323053508,63323-535,63323-535-08,854235,066f27ec-352c-4051-ba29-248e292690db
317,63323053704,63323-537,63323-537-04,854252,066f27ec-352c-4051-ba29-248e292690db
319,63323053913,63323-539,63323-539-13,854255,066f27ec-352c-4051-ba29-248e292690db
320,63323060504,63323-605,63323-605-04,854248,066f27ec-352c-4051-ba29-248e292690db
322,63323060708,63323-607,63323-607-08,854238,066f27ec-352c-4051-ba29-248e292690db
324,63323060908,63323-609,63323-609-08,854245,066f27ec-352c-4051-ba29-248e292690db
326,63395020113,63395-201,63395-201-13,261361,0679dd4c-fece-4c6d-b273-2c62237e8973
327,59746044705,59746-447,59746-447-05,200094,068224c4-a34d-32d7-bb2a-7eed44ccf7d3
330,59746044805,59746-448,59746-448-05,200095,068224c4-a34d-32d7-bb2a-7eed44ccf7d3
333,59746044905,59746-449,59746-449-05,200096,068224c4-a34d-32d7-bb2a-7eed44ccf7d3
336,63187077500,63187-775,63187-775-00,314077,06862c94-103d-4b12-8a74-abf52cb42389
340,52544005841,52544-058,52544-058-41,1421461,068d36bf-2c22-4298-a74e-4993469a88ff
344,11673037890,11673-378,11673-378-90,212033,06af68e7-2bed-4a0b-b003-c04b9ac5dcd6
345,71205020830,71205-208,71205-208-30,197319,06cf0f4b-aef0-472e-b5c0-56e0c35354f2
348,69842001037,69842-010,69842-010-37,849574,06df49c2-4cb8-4676-a6ba-d8e6cad53289
352,61958200201,61958-2002,61958-2002-1,1747697,06f66e98-e6ee-4538-9506-6c1282cc14c1
354,61958200501,61958-2005,61958-2005-1,2590643,06f66e98-e6ee-4538-9506-6c1282cc14c1
355,00591242212,0591-2422,0591-2422-12,861635,06fc923e-62ef-4fcd-838a-a880c4df4a89
358,53002243800,53002-2438,53002-2438-0,349332,071b592e-0938-4473-8f4d-9f8cafa7a8b7
361,37835047175,37835-471,37835-471-75,308892,071cab57-13c8-40b6-a891-9d0ef54034e8
362,11673025335,11673-253,11673-253-35,209884,071ec682-6f95-4d1f-a3fe-70a1b1e7b0fd
363,63629221701,63629-2217,63629-2217-1,311430,07274420-b7fe-4b68-aca5-867db8f22c07
364,50090470100,50090-4701,50090-4701-0,314078,073c6139-67c2-4a6e-be3d-11c047eb31ac
365,00904717961,0904-7179,0904-7179-61,835603,0742ec44-f8b4-45c5-a36e-2638bdaa2e44
366,59779044428,59779-444,59779-444-28,244557,0761b866-af34-42bd-adc9-3d229170d01c
367,53002264200,53002-2642,53002-2642-0,309309,0769aef5-962b-4f6b-ab4c-80e08cd7a790
375,00904680661,0904-6806,0904-6806-61,311727,07e58d46-ce43-4c8f-810c-3361a41e5a4e
376,00904680761,0904-6807,0904-6807-61,317128,07e58d46-ce43-4c8f-810c-3361a41e5a4e
377,68400010715,68400-107,68400-107-15,347669,080e7f9d-273e-4f3b-bc84-f7c0dd3cf94c
379,00404407501,0404-4075,0404-4075-01,1595309,0829509a-1b9b-5d8a-e054-00144ff8d46c
382,00121065304,0121-0653,0121-0653-04,310391,0860b3f3-3116-40f8-bcb0-e5c47731bdc8
384,46708043930,46708-439,46708-439-30,200094,0898f423-0aa9-409c-8d4e-1349b59141d1
389,46708044030,46708-440,46708-440-30,200095,0898f423-0aa9-409c-8d4e-1349b59141d1
394,46708044130,46708-441,46708-441-30,200096,0898f423-0aa9-409c-8d4e-1349b59141d1
399,53002974201,53002-9742,53002-9742-1,308714,08d0b38f-f425-4a13-a754-05a72153579c
400,00363501201,0363-5012,0363-5012-01,1797907,08e16f9a-5eb1-14d7-81b0-034aa7a0b962
403,55700053630,55700-536,55700-536-30,197817,08fb4f78-5600-4e80-a699-eb831aa86090
405,55700053721,55700-537,55700-537-21,197818,08fb4f78-5600-4e80-a699-eb831aa86090
407,63629203901,63629-2039,63629-2039-1,198342,08ff47c5-8200-4f05-bbed-d3aaeca94601
408,70756072011,70756-720,70756-720-11,197303,0913db35-3f08-4d82-8394-486bd9a487c4
409,70756072111,70756-721,70756-721-11,197304,0913db35-3f08-4d82-8394-486bd9a487c4
410,25021030266,25021-302,25021-302-66,833532,0915ecd6-1c36-420a-bd59-32d48587e137
412,55700052701,55700-527,55700-527-01,828320,0919ff22-f280-48f9-b4a1-989d31f980c8
417,55700060000,55700-600,55700-600-00,856834,091bdfca-642f-4efb-8aa5-72923b2524eb
421,55289081630,55289-816,55289-816-30,1000135,0930a471-6ff1-43a1-b3ea-948ca3f99d06
422,51672406901,51672-4069,51672-4069-1,1313112,093fd736-5971-47af-b4ef-08c1696cebe8
425,53942097186,53942-971,53942-971-86,313029,096e6a1d-316b-432a-bf27-70e8a13337cc
426,60687029501,60687-295,60687-295-01,856519,09709918-68c4-4bc8-9cb5-08822d65f980
428,60687030601,60687-306,60687-306-01,856457,09709918-68c4-4bc8-9cb5-08822d65f980
430,72288019400,72288-194,72288-194-00,310273,0983cef7-b8b6-4ed9-a01e-c699fa6d2d06
434,68788717003,68788-7170,68788-7170-3,993503,09994c67-379f-4b0d-bd99-7c150c364d18
437,16864014001,16864-140,16864-140-01,1250234,09a178c1-0eb1-43e5-bde8-fd27ed633d59
438,49999041930,49999-419,49999-419-30,1011705,09be2cbc-73bf-4894-add6-10e46c4471c9
439,31722057960,31722-579,31722-579-60,728223,09ec3e79-c0d3-4b8f-80d8-0a854c4ca339
440,31722058060,31722-580,31722-580-60,728225,09ec3e79-c0d3-4b8f-80d8-0a854c4ca339
441,55910067964,55910-679,55910-679-64,1359350,0a04da51-d169-4eff-b70c-352913ce3966
442,75826011410,75826-114,75826-114-10,1094107,0a190e86-4074-4822-888e-4952281712ea
443,75826011510,75826-115,75826-115-10,1094104,0a190e86-4074-4822-888e-4952281712ea
444,62542030103,62542-301,62542-301-03,1087459,0a442026-486d-105a-e054-00144ff88e88
448,21130045265,21130-452,21130-452-65,311373,0a4b8eef-762e-42cc-84ee-0018a9a3be58
449,63645017402,63645-174,63645-174-02,1798385,0a6cc2a8-f568-45ae-8d82-a70103c774c7
450,69842051543,69842-515,69842-515-43,2584344,0a849f0b-2906-4859-bf06-b7562f54310d
451,71205093800,71205-938,71205-938-00,857677,0a95bc4f-34d3-4b5e-841b-6839e1c1e0c7
456,71205093900,71205-939,71205-939-00,857683,0a95bc4f-34d3-4b5e-841b-6839e1c1e0c7
461,42891414801,42891-4148,42891-4148-1,1111013,0aadfe31-2d94-4bae-9a6b-081c149c374d
463,60505623004,60505-6230,60505-6230-4,583214,0ab36ac8-0536-4677-b7d0-0d5f9561f76f
464,63981029406,63981-294,63981-294-06,311724,0abfa2f8-38d0-4bfe-91ff-aa4abde66525
