,ndcItem,ndc9,ndc10,rxcui,splSetIdItem
6632,69301002515,69301-025,69301-025-15,245593,97d887f2-cc28-4233-a54b-8f4e6eb82bef
6633,48433011501,48433-115,48433-115-01,602964,97d95498-f430-4647-90fe-eb27a2fa212e
6635,48433011601,48433-116,48433-116-01,402131,97d95498-f430-4647-90fe-eb27a2fa212e
6637,48433011701,48433-117,48433-117-01,349545,97d95498-f430-4647-90fe-eb27a2fa212e
6639,48433011801,48433-118,48433-118-01,349490,97d95498-f430-4647-90fe-eb27a2fa212e
6641,48433011901,48433-119,48433-119-01,349553,97d95498-f430-4647-90fe-eb27a2fa212e
6643,48433012001,48433-120,48433-120-01,349547,97d95498-f430-4647-90fe-eb27a2fa212e
6645,00168005515,0168-0055,0168-0055-15,238920,97dde5f5-a865-4af2-b562-8da72c8475f3
6647,00168005615,0168-0056,0168-0056-15,197405,97dde5f5-a865-4af2-b562-8da72c8475f3
6649,00168005760,0168-0057,0168-0057-60,240209,97dde5f5-a865-4af2-b562-8da72c8475f3
6650,63187026122,63187-261,63187-261-22,106346,97f8d67d-c422-4a26-9394-24a5ec9719d9
6651,69292027410,69292-274,69292-274-10,1000913,9801b78b-1df2-4275-a8de-316ba2e91917
6652,69292027510,69292-275,69292-275-10,1001004,9801b78b-1df2-4275-a8de-316ba2e91917
6653,63187030810,63187-308,63187-308-10,310687,98042cef-2839-49d6-a7bd-a1d29c74430b
6654,51079055067,51079-550,51079-550-67,197312,98109bfb-73ca-4f3c-81f7-393e4b666077
6656,41190037016,41190-370,41190-370-16,581662,9859ef63-70a7-4986-ad22-0c1c7333c6cb
6659,71713009130,71713-091,71713-091-30,645146,985ba944-147c-4207-b34b-ede702c3d704
6660,00113900726,0113-9007,0113-9007-26,1116572,987b2abc-adc8-4383-87dc-52392dd8af47
6661,47781058629,47781-586,47781-586-29,896771,988d3ded-f326-95ab-09f4-eefc50b95ec2
6663,71205086700,71205-867,71205-867-00,616749,989e1688-a0b5-4297-bf91-234de2a0b445
6670,71205086800,71205-868,71205-868-00,728231,989e1688-a0b5-4297-bf91-234de2a0b445
6677,71205046005,71205-460,71205-460-05,198148,989f644b-86fc-4bf4-b341-d6b7a4fa87ff
6683,72805013013,72805-130,72805-130-13,416783,98a4cb86-7da9-48b3-8939-61f8bb514e07
6684,61958290101,61958-2901,61958-2901-1,2284960,98b7e6bf-2668-4a61-a874-194eb674b15c
6686,61958290201,61958-2902,61958-2902-1,2367758,98b7e6bf-2668-4a61-a874-194eb674b15c
6688,71205054610,71205-546,71205-546-10,1648755,98c50178-3150-42a5-84f0-65b373f4978f
6694,00363014165,0363-0141,0363-0141-65,199047,98c6ddc9-8103-40b3-a145-ffbe3374ab6c
6696,69483000230,69483-002,69483-002-30,238910,98da331c-76c2-49fe-b687-6bfba4ae2e75
6697,71205016107,71205-161,71205-161-07,199903,98edae8a-99dc-4f26-a956-3ad58bf38a26
6701,00574012901,0574-0129,0574-0129-01,562266,98f47953-c344-421c-a171-3a822be34728
6702,00480347224,0480-3472,0480-3472-24,1112715,99073fe0-eac8-44dd-abe6-623fa67d9e79
6703,63187056100,63187-561,63187-561-00,197582,99296e80-3ca6-4430-9ef7-adca357c31b3
6710,00093113556,0093-1135,0093-1135-56,199689,993a5325-cd10-4450-b5ea-1c0a90510df6
6711,00093113656,0093-1136,0093-1136-56,199690,993a5325-cd10-4450-b5ea-1c0a90510df6
6712,00093113856,0093-1138,0093-1138-56,894859,993a5325-cd10-4450-b5ea-1c0a90510df6
6713,11291007001,11291-070,11291-070-01,1363909,9947855d-b8e0-4c22-a627-16b526242e39
6715,50090356600,50090-3566,50090-3566-0,1111339,994ca5d1-2dd5-4abd-a169-5379efa2a538
6716,55700045330,55700-453,55700-453-30,310432,99675279-d8a8-4369-9033-0a9de8a57830
6719,42571037830,42571-378,42571-378-30,749206,9977f652-b3e7-43bc-bf3f-1f54698c5f7a
6721,00536133321,0536-1333,0536-1333-21,1305603,997946e6-eff0-4c15-8694-020a19c2d336
6723,00168027740,0168-0277,0168-0277-40,309337,997a23c8-f0d7-49d5-af33-e11f2ddab3c7
6724,23710010070,23710-100,23710-100-70,1442590,998798bc-5c64-4e4c-a0d6-925278ff76a4
6725,10237079012,10237-790,10237-790-12,2362013,99a2b061-0875-59a4-e053-2995a90ab373
6728,00143936301,0143-9363,0143-9363-01,2479566,99a715a0-4579-410c-b102-7ef6fab8db55
6730,00143936401,0143-9364,0143-9364-01,2479564,99a715a0-4579-410c-b102-7ef6fab8db55
6732,00143936501,0143-9365,0143-9365-01,2479567,99a715a0-4579-410c-b102-7ef6fab8db55
6734,00143936601,0143-9366,0143-9366-01,2479564,99a715a0-4579-410c-b102-7ef6fab8db55
6736,10237078312,10237-783,10237-783-12,2266762,99b589ac-9833-fb60-e053-2995a90a0935
6739,43498031530,43498-315,43498-315-30,238910,99bce4c6-4593-40a1-b28d-8334a79b9d42
6740,10122051001,10122-510,10122-510-01,261329,99bef307-00bd-4379-9f45-ede1380e74d4
6742,42546027001,42546-270,42546-270-01,477031,99d7e2ad-2dc3-4177-80eb-137715855b8a
6743,53002322401,53002-3224,53002-3224-1,308460,99eb5289-dc06-4594-bdd7-83493d469f82
6745,27808016301,27808-163,27808-163-01,1307427,99fc454c-67ea-4fe0-93b5-450c717da187
6746,68788756602,68788-7566,68788-7566-2,859424,9a2c6345-b4a3-45e8-8816-55a75fb9eb68
6750,71713009416,71713-094,71713-094-16,311724,9a8528df-3cd3-4c85-b7e9-0a0e761d6cbd
6752,69634002730,69634-027,69634-027-30,238910,9a9d71ff-121c-f6af-e053-2995a90ad27f
6753,69292058001,69292-580,69292-580-01,310670,9a9e20dd-646a-4fe9-a345-1b5bda8e7775
6754,69292058201,69292-582,69292-582-01,310671,9a9e20dd-646a-4fe9-a345-1b5bda8e7775
6755,69292058401,69292-584,69292-584-01,314034,9a9e20dd-646a-4fe9-a345-1b5bda8e7775
6756,69292058601,69292-586,69292-586-01,310672,9a9e20dd-646a-4fe9-a345-1b5bda8e7775
6758,69292058801,69292-588,69292-588-01,314035,9a9e20dd-646a-4fe9-a345-1b5bda8e7775
6759,69292059001,69292-590,69292-590-01,197754,9a9e20dd-646a-4fe9-a345-1b5bda8e7775
6760,53002538701,53002-5387,53002-5387-1,312122,9aa12239-dbf3-4655-a1c4-e9cad4876c18
6761,61577323501,61577-3235,61577-3235-1,415976,9aa1f0ac-3baf-4e45-9e3a-c28a99b22909
6768,72288065002,72288-650,72288-650-02,310621,9ab3d192-0fd4-48fd-95ea-3182c63a7327
6770,00143953301,0143-9533,0143-9533-01,252931,9ae58f3c-dbf9-4c10-9b79-233b10e0e9f1
6771,55316087143,55316-871,55316-871-43,91349,9af1a6a8-d379-4100-8301-f7f0a3c41e9b
6773,71205086900,71205-869,71205-869-00,483442,9b1472ac-8b79-4f22-ae50-3b0942bd62b1
6782,71205087000,71205-870,71205-870-00,483448,9b1472ac-8b79-4f22-ae50-3b0942bd62b1
6791,71205087100,71205-871,71205-871-00,483450,9b1472ac-8b79-4f22-ae50-3b0942bd62b1
6800,71205087200,71205-872,71205-872-00,483438,9b1472ac-8b79-4f22-ae50-3b0942bd62b1
6809,71205087300,71205-873,71205-873-00,483440,9b1472ac-8b79-4f22-ae50-3b0942bd62b1
6818,71205087400,71205-874,71205-874-00,483446,9b1472ac-8b79-4f22-ae50-3b0942bd62b1
6827,71205087500,71205-875,71205-875-00,577127,9b1472ac-8b79-4f22-ae50-3b0942bd62b1
6836,71205087600,71205-876,71205-876-00,483444,9b1472ac-8b79-4f22-ae50-3b0942bd62b1
6845,78206016601,78206-166,78206-166-01,724606,9b17b028-964a-473c-823d-81423535bd66
6846,78206016701,78206-167,78206-167-01,724602,9b17b028-964a-473c-823d-81423535bd66
6847,78206016801,78206-168,78206-168-01,724598,9b17b028-964a-473c-823d-81423535bd66
6848,55150017305,55150-173,55150-173-05,313165,9b1bb8c9-be3a-47c3-b3bc-9c983cde7d23
6849,00143211205,0143-2112,0143-2112-05,1650143,9b52e0a7-f024-4d8a-a59e-374946e60b44
6854,59779038142,59779-381,59779-381-42,646333,9b551fe3-3842-482a-9042-63de5ad39884
6855,00904668961,0904-6689,0904-6689-61,861007,9b5f2832-7fc7-4e29-ac34-3bf281ebc20c
6856,00904669061,0904-6690,0904-6690-61,861010,9b5f2832-7fc7-4e29-ac34-3bf281ebc20c
6857,00904669161,0904-6691,0904-6691-61,861004,9b5f2832-7fc7-4e29-ac34-3bf281ebc20c
6858,00536122308,0536-1223,0536-1223-08,314221,9b84f74f-8609-489d-b411-3103afa1b5c2
6859,00591247218,0591-2472,0591-2472-18,198240,9b8a4211-120f-4981-ad69-928accb97637
6861,00591247319,0591-2473,0591-2473-19,313195,9b8a4211-120f-4981-ad69-928accb97637
6863,71391015001,71391-150,71391-150-01,1737778,9b916733-4b34-427c-81e6-a62c70fa51a4
6866,53329099484,53329-994,53329-994-84,1245230,9b926809-65e9-4e5b-e053-2995a90add10
6867,42571025001,42571-250,42571-250-01,309329,9b9f898f-6a91-44f8-9508-f9ddfaad27bc
6870,42571025101,42571-251,42571-251-01,197518,9b9f898f-6a91-44f8-9508-f9ddfaad27bc
6875,42571025201,42571-252,42571-252-01,284215,9b9f898f-6a91-44f8-9508-f9ddfaad27bc
6878,76348045802,76348-458,76348-458-02,1114454,9ba4f8ff-5a95-2ea1-e053-2995a90acc77
6879,63941073120,63941-731,63941-731-20,636522,9bac4bbb-a20c-48c5-891b-63f14a664d04
6880,63187072300,63187-723,63187-723-00,310273,9baf2596-b771-4bae-a03c-d3af6716821d
6886,72288031109,72288-311,72288-311-09,310965,9bbbedb3-e0b2-4645-8105-98800096cfed
6887,70377008111,70377-081,70377-081-11,310015,9bc35df4-2d41-4160-8dae-7eea3e4ff0ce
6888,53002261601,53002-2616,53002-2616-1,1358775,9bff0c82-55b0-4eea-9c91-534341be0a05
6891,80673000101,80673-001,80673-001-01,2472161,9c008384-379d-48d3-b5a5-9809ed0f655c
6893,52817021010,52817-210,52817-210-10,866144,9c0b47c0-ecd2-450f-9dcb-c262db92866e
6895,82260081205,82260-812,82260-812-05,1923428,9c14ca2d-80f3-48ef-b99a-beafaa728a24
6896,82260081305,82260-813,82260-813-05,1992303,9c14ca2d-80f3-48ef-b99a-beafaa728a24
6898,00904647445,0904-6474,0904-6474-45,314200,9c286e5c-2b36-422b-9f74-e8c0abb3f747
6900,00548500100,0548-5001,0548-5001-00,855200,9c286f64-8039-44ec-8fdd-d1a2f52b4c3c
6901,41190061940,41190-619,41190-619-40,891710,9c7aa54c-293d-4508-9f9c-2c9aebe89dcb
6902,57344019317,57344-193,57344-193-17,311372,9c8535e3-6a60-4640-b37e-a2260936d9af
6904,00485008501,0485-0085,0485-0085-01,1363309,9ca71d93-2d32-4a74-8a5a-39ef446067e0
6905,51407024730,51407-247,51407-247-30,855818,9cae2017-ea72-2206-e053-2995a90a82ea
6906,51407024830,51407-248,51407-248-30,855812,9cae2017-ea72-2206-e053-2995a90a82ea
6907,58037010211,58037-102,58037-102-11,581660,9cb62697-d9b0-477e-8c95-6ec4c165d649
6909,72611071672,72611-716,72611-716-72,1736590,9cbd2987-10bb-eceb-153d-ee7be1ed0c84
6910,24794010916,24794-109,24794-109-16,245593,9cc82e34-9b2d-4815-b9ff-99d2292faff2
6911,43063042703,43063-427,43063-427-03,309309,9cda7abc-a9cb-45a8-8459-03f575857643
6920,55910071426,55910-714,55910-714-26,1014673,9cdccfec-4373-452b-a574-f40b2a97f370
6921,11822783402,11822-7834,11822-7834-2,978006,9cee17ca-bd11-3d40-e053-2995a90ac8fe
6923,50090598900,50090-5989,50090-5989-0,310670,9d082547-b5d0-426a-90b4-4df205632700
6924,55319087118,55319-871,55319-871-18,91349,9d0f8fca-b475-4f8c-9822-98a806cabe5a
6927,63629211901,63629-2119,63629-2119-1,856834,9d19e9be-7eec-49ee-9276-cd8f9ad9f709
6928,71205064230,71205-642,71205-642-30,892246,9d1aaa2d-c8c0-478f-8540-f92f6512cfcb
6931,00409733331,0409-7333,0409-7333-31,1665021,9d1f630b-e759-4395-9d01-ddc90e4fea75
6934,00480124128,0480-1241,0480-1241-28,1242231,9d401422-072b-4b69-aeef-da1f9534c3ec
6935,00480124521,0480-1245,0480-1245-21,1428947,9d401422-072b-4b69-aeef-da1f9534c3ec
6937,66267080306,66267-803,66267-803-06,197944,9d6024b2-ee1a-3a79-e053-2a95a90a1bf4
6938,35573040230,35573-402,35573-402-30,602393,9d86b3a9-2222-49e4-ba7f-c307a8f7f9f7
6939,30142007826,30142-078,30142-078-26,204691,9db0811c-aa22-437b-9c86-cb0b5de9a2b9
6940,60429098901,60429-989,60429-989-01,197536,9db4f278-499c-48df-ad7e-00bc553a8f2f
6941,60429099001,60429-990,60429-990-01,197535,9db4f278-499c-48df-ad7e-00bc553a8f2f
6943,00591438579,0591-4385,0591-4385-79,1731077,9dbd4c29-d894-4839-9b22-a2f65c8c8ad1
6944,42291072710,42291-727,42291-727-10,312617,9dc1f559-6799-8482-e053-2995a90a6d96
6945,60687035225,60687-352,60687-352-25,197702,9dc8b93f-385a-419f-a10b-748f9bd85cda
6947,60687036325,60687-363,60687-363-25,197703,9dc8b93f-385a-419f-a10b-748f9bd85cda
6949,63629206801,63629-2068,63629-2068-1,403879,9ddc7fb9-1f35-49d2-92e4-af646434242b
6950,30142006330,30142-063,30142-063-30,617954,9ddcd6ba-1aed-48f8-a91a-54bd6f0d9308
6951,71205086100,71205-861,71205-861-00,197554,9e103cf9-f075-48ba-8913-2e44f9442781
6957,71205086200,71205-862,71205-862-00,197555,9e103cf9-f075-48ba-8913-2e44f9442781
6963,00031223513,0031-2235,0031-2235-13,1053258,9e18bd92-f305-483d-cd61-f2a087315db0
6967,69097081307,69097-813,69097-813-07,310430,9e4eca9c-6a2c-4ede-a252-1a27094bf594
6969,69097081407,69097-814,69097-814-07,310431,9e4eca9c-6a2c-4ede-a252-1a27094bf594
6971,69097081507,69097-815,69097-815-07,310432,9e4eca9c-6a2c-4ede-a252-1a27094bf594
6973,69097094307,69097-943,69097-943-07,310431,9e4eca9c-6a2c-4ede-a252-1a27094bf594
6975,49035043543,49035-435,49035-435-43,313029,9e5806aa-b91a-4b8e-b869-6d6f306d10c9
6977,63187057406,63187-574,63187-574-06,197313,9e5b3a11-9c4b-4998-8a18-3046af1314ab
6985,50268076411,50268-764,50268-764-11,313215,9e7b27a6-cc09-407e-e053-2a95a90a17b3
6987,50268076511,50268-765,50268-765-11,313217,9e7b27a6-cc09-407e-e053-2a95a90a17b3
6989,50268076611,50268-766,50268-766-11,313219,9e7b27a6-cc09-407e-e053-2a95a90a17b3
6991,50268076711,50268-767,50268-767-11,260376,9e7b27a6-cc09-407e-e053-2a95a90a17b3
6993,50268071615,50268-716,50268-716-15,200345,9e90c93f-ce30-5c98-891e-427087ea984c
6994,43598071901,43598-719,43598-719-01,197499,9e9e9ced-6960-4d2f-bb23-ef8b2435da75
6996,43598072001,43598-720,43598-720-01,197500,9e9e9ced-6960-4d2f-bb23-ef8b2435da75
6998,72572005501,72572-055,72572-055-01,1665050,9ea55207-6d86-401e-b9b9-73c9534a233f
7000,69483000330,69483-003,69483-003-30,238910,9ed0fe31-e5f2-4d6d-8686-1286c6659847
7001,64380016201,64380-162,64380-162-01,863664,9ede5def-d185-4e40-9c10-8663ac654caf
7004,67385002401,67385-024,67385-024-01,581662,9ee32e79-d973-4fa4-9147-3c27f4e54d4f
7006,63187071415,63187-714,63187-714-15,855906,9eeb2aef-3eb1-4583-8180-d480deb3651c
7010,29300038901,29300-389,29300-389-01,860975,9eebed09-2562-4d21-b3b3-c06562fe3f99
7014,29300039901,29300-399,29300-399-01,860981,9eebed09-2562-4d21-b3b3-c06562fe3f99
7016,41250019201,41250-192,41250-192-01,198440,9f050997-7de5-f193-e053-2a95a90afba9
7018,37808087534,37808-875,37808-875-34,865105,9f076a22-bcf9-4200-b9a6-397f74f82a73
7019,41190004130,41190-041,41190-041-30,562600,9f098213-1c7b-4c31-91f6-e6b8d24551be
7020,00113025968,0113-0259,0113-0259-68,318272,9f114567-f7cd-438c-bf0b-8831f385b368
7021,71335033601,71335-0336,71335-0336-1,993890,9f2127d9-d60b-42d3-9b6c-798e63dd68d1
7024,68987000230,68987-002,68987-002-30,238910,9f2bdc10-6b41-4606-a65c-560d204fdb97
7025,71205027409,71205-274,71205-274-09,2170986,9f4d487a-c5f7-4707-976b-64e738c98d45
7026,55150018302,55150-183,55150-183-02,858607,9f5d3050-9cdf-404f-ac0f-72399178959f
7028,64380016001,64380-160,64380-160-01,860225,9f7365a0-67cf-45fc-a914-e40a4507a063
7030,00113041926,0113-0419,0113-0419-26,1020138,9f7cde24-b5f1-4010-b896-dba4c5a1bba9
7031,50268073811,50268-738,50268-738-11,403957,9f7dfabf-40dc-d433-e053-2a95a90ac784
7033,50268073911,50268-739,50268-739-11,402019,9f7dfabf-40dc-d433-e053-2a95a90ac784
7035,63739019861,63739-198,63739-198-61,876193,9f80bf15-af0b-4a6d-84cd-f5fc317e3318
7037,43128002830,43128-028,43128-028-30,238910,9f81ffa5-05fd-4eef-e053-2995a90aac3e
7039,68071518509,68071-5185,68071-5185-9,997501,9f83ac76-ebba-42e9-e053-2995a90a6861
7040,43128002930,43128-029,43128-029-30,238910,9f91e609-8ca5-0492-e053-2a95a90a85d0
7042,43128003130,43128-031,43128-031-30,238910,9f947366-9380-3fa9-e053-2a95a90ad49c
7044,43128003230,43128-032,43128-032-30,238910,9f947672-4873-5546-e053-2a95a90a3c4b
7046,43128003330,43128-033,43128-033-30,238910,9f9490c1-8bfe-3166-e053-2a95a90a7175
7048,43128003430,43128-034,43128-034-30,238910,9f94b65d-47e3-9c6b-e053-2a95a90aa1f8
7050,69634002530,69634-025,69634-025-30,238910,9fb0c45e-19b1-4b3b-adb7-e467bde03aa4
7051,42291017690,42291-176,42291-176-90,866111,9fcb2e6c-b61b-f4aa-519a-47cfb7cf0f47
7052,74530002201,74530-022,74530-022-01,2286291,a00611ec-7bf8-49d1-bb97-9e8377c4c644
7055,35000010111,35000-101,35000-101-11,1367082,a00d538e-c409-4dd6-aeb9-092d4ebab196
7056,63187093830,63187-938,63187-938-30,314200,a03aa46f-9eb5-4cf4-addf-745d94af8261
7059,17478076106,17478-761,17478-761-06,197635,a0409d82-a61e-4b9e-8717-ced299ccedb2
7060,17478076206,17478-762,17478-762-06,197636,a0409d82-a61e-4b9e-8717-ced299ccedb2
7061,17478076306,17478-763,17478-763-06,197634,a0409d82-a61e-4b9e-8717-ced299ccedb2
7062,11534015701,11534-157,11534-157-01,968766,a0439c85-5ede-4e02-aed2-47debd2c8eb2
7064,11534017601,11534-176,11534-176-01,900038,a0439c85-5ede-4e02-aed2-47debd2c8eb2
7066,63629194701,63629-1947,63629-1947-1,197698,a04e8361-3908-4a40-9a33-24df1c11df44
7067,13668057408,13668-574,13668-574-08,391937,a04fb99f-b65c-4e43-9bd4-1fd6f62477f5
7070,41250065402,41250-654,41250-654-02,310621,a0510998-d297-4222-857c-c8e80c657ddf
7072,00591349630,0591-3496,0591-3496-30,860715,a074f2c6-fc31-4b04-80da-b905abe839b5
7073,00591349730,0591-3497,0591-3497-30,860695,a074f2c6-fc31-4b04-80da-b905abe839b5
7074,00591349830,0591-3498,0591-3498-30,860707,a074f2c6-fc31-4b04-80da-b905abe839b5
7075,62559031020,62559-310,62559-310-20,201848,a078d9c2-f89c-4f9f-8ded-60ffb2983c3f
7076,62559031120,62559-311,62559-311-20,201849,a078d9c2-f89c-4f9f-8ded-60ffb2983c3f
7077,68071519502,68071-5195,68071-5195-2,198145,a0839626-2c58-4291-e053-2a95a90a8b06
7078,68071519601,68071-5196,68071-5196-1,312617,a083b039-fed7-e436-e053-2a95a90adc20
7079,11822212803,11822-2128,11822-2128-3,311975,a0849cb5-7fa2-4b48-bd5a-e1a32b208b91
7081,75834013105,75834-131,75834-131-05,310459,a086fc16-e6f3-47fd-b577-7c611e735834
7084,59428040357,59428-403,59428-403-57,106258,a087ad4d-9a65-19c3-e053-2995a90ab341
7085,57894003001,57894-030,57894-030-01,213361,a0a046c1-056d-45a9-bfd9-13b47c24f257
7086,39822105505,39822-1055,39822-1055-5,239240,a0a54943-9ce4-4f3e-b681-a1a9144c16ce
7087,43063088620,43063-886,43063-886-20,1649990,a0a81f39-c15e-4980-b4f9-e55415e4c424
7089,00224190185,0224-1901,0224-1901-85,1095536,a0ad3a29-a54f-bf3b-e053-2995a90adacd
7090,70945010075,70945-100,70945-100-75,1988416,a0ae6ab7-960d-4fed-ab31-fb70882fc7e0
7091,71205020530,71205-205,71205-205-30,312941,a0b4b9c9-bd5b-4900-8abf-b55d3283c53c
7094,65923012301,65923-123,65923-123-01,1043399,a0b89c7e-80bc-43c4-840c-5fd567f60b21
7096,71335014300,71335-0143,71335-0143-0,995632,a0d519ec-8a3d-4486-8364-e8ed40bef5cb
7104,71205039630,71205-396,71205-396-30,483440,a0f2b8af-0a04-4db0-adb3-d9d9369223d9
7107,59779065026,59779-650,59779-650-26,310604,a0f67173-d87e-418e-8383-53eaae71427a
7109,51407031401,51407-314,51407-314-01,260260,a0fbd3e8-7ea9-e808-e053-2a95a90a5336
7110,13668059607,13668-596,13668-596-07,1014673,a1078430-f84a-4afe-9ff2-95f6754749c3
7111,70860065210,70860-652,70860-652-10,1654006,a12cdb4a-0cb9-4e55-844a-e85d64e6eb61
7113,42291075201,42291-752,42291-752-01,313190,a136688e-42a0-d318-e053-2995a90ac9d3
7114,42291075301,42291-753,42291-753-01,198377,a136688e-42a0-d318-e053-2995a90ac9d3
7115,42291075401,42291-754,42291-754-01,198378,a136688e-42a0-d318-e053-2995a90ac9d3
7116,71205062130,71205-621,71205-621-30,483450,a1545bbb-b337-4760-ab4c-fb76ab019337
7119,49999004221,49999-042,49999-042-21,197807,a156e748-72c2-437a-a778-1e665157baba
7121,43063008904,43063-089,43063-089-04,1190572,a17d6ad3-bfdc-43da-a4ef-e40c804f04a4
7123,36800066412,36800-664,36800-664-12,1043619,a1915524-2719-40d4-86e3-35df5ce3238d
7127,30142083143,30142-831,30142-831-43,705909,a1b6a949-b48a-40a6-b1ba-74bab1f3417e
7128,89141025014,89141-250,89141-250-14,998550,a1bf6bf0-9197-4fc1-af9f-df7b9a1ad6ce
7129,63187099705,63187-997,63187-997-05,312617,a1bff575-cd79-4596-99f1-30a5fe8a8b4c
7147,73760000101,73760-001,73760-001-01,1038558,a1cb6ac9-95f5-3ef1-e053-2a95a90abcdf
7156,00093330416,0093-3304,0093-3304-16,753543,a1e00bc6-7487-4057-9dcc-d0e2327d1d12
7158,00363979016,0363-9790,0363-9790-16,1656815,a1e0721d-5328-4dc9-8430-6d7afe557e60
7159,42291082010,42291-820,42291-820-10,313215,a2137488-8554-e84f-e053-2995a90a796c
7160,42291082110,42291-821,42291-821-10,313217,a2137488-8554-e84f-e053-2995a90a796c
7161,42291082210,42291-822,42291-822-10,313219,a2137488-8554-e84f-e053-2995a90a796c
7162,42291082310,42291-823,42291-823-10,260376,a2137488-8554-e84f-e053-2995a90a796c
7163,51407032535,51407-325,51407-325-35,1543069,a2152339-2d67-46a0-e053-2995a90ae8e9
7164,68071523301,68071-5233,68071-5233-1,198145,a2164679-fd16-48ea-e053-2995a90a0bc8
7166,70000060101,70000-0601,70000-0601-1,1049154,a2189d7d-9335-4e96-8f6d-95c583739ac0
7167,11822582905,11822-5829,11822-5829-5,1043619,a21eef4f-62a5-4f40-8a52-dd581577f7f9
7168,69483000130,69483-001,69483-001-30,238910,a225d515-430d-4e34-846c-0bfec3e74109
7169,47682085905,47682-859,47682-859-05,308753,a229acfa-4c5c-9cc3-e053-2a95a90a5c66
7170,63868030308,63868-303,63868-303-08,308762,a23ac67d-bb35-4778-8ac3-a52078368942
7171,67457085820,67457-858,67457-858-20,1654035,a24a5a6d-7068-434b-81de-9e099f229450
7172,67457085930,67457-859,67457-859-30,1654040,a24a5a6d-7068-434b-81de-9e099f229450
7173,48433010101,48433-101,48433-101-01,1245468,a2586a38-4e2c-4244-8618-0b614d585605
7174,69498000130,69498-001,69498-001-30,238910,a2591a96-ed66-45b1-abf6-6b26d0bb4f44
7175,42291015410,42291-154,42291-154-10,828348,a264ab9f-cc12-325f-e053-2a95a90a53d9
7183,73788010001,73788-100,73788-100-01,1305100,a280f0fa-242c-572e-e053-2995a90ac99a
7191,68788773103,68788-7731,68788-7731-3,1000070,a285108e-4b21-4821-beb4-dac4d3795956
7194,00904655161,0904-6551,0904-6551-61,198052,a29b5c18-9884-4c88-8827-65d9ad5f69f6
7195,00904655261,0904-6552,0904-6552-61,312086,a29b5c18-9884-4c88-8827-65d9ad5f69f6
7196,72024048808,72024-488,72024-488-08,1046593,a2c777c4-54a1-4d7b-a7e6-6dd7db44da75
7197,36800077502,36800-775,36800-775-02,1098435,a2eebdc0-b418-469e-8285-051914fd24e0
7198,63187055430,63187-554,63187-554-30,314111,a2f01ffd-fd48-499b-9126-8eb9048a5722
7201,50268004911,50268-049,50268-049-11,242679,a2f06528-f3c5-2466-e053-2995a90ae18a
7203,51407034101,51407-341,51407-341-01,855288,a2f6c9f7-87dc-7428-e053-2995a90a1de6
7205,51407034201,51407-342,51407-342-01,855302,a2f6c9f7-87dc-7428-e053-2995a90a1de6
7207,51407034301,51407-343,51407-343-01,855312,a2f6c9f7-87dc-7428-e053-2995a90a1de6
7209,51407034401,51407-344,51407-344-01,855318,a2f6c9f7-87dc-7428-e053-2995a90a1de6
7211,51407034501,51407-345,51407-345-01,855324,a2f6c9f7-87dc-7428-e053-2995a90a1de6
7213,51407034601,51407-346,51407-346-01,855332,a2f6c9f7-87dc-7428-e053-2995a90a1de6
7215,51407034701,51407-347,51407-347-01,855338,a2f6c9f7-87dc-7428-e053-2995a90a1de6
7217,51407034801,51407-348,51407-348-01,855344,a2f6c9f7-87dc-7428-e053-2995a90a1de6
7218,51407034901,51407-349,51407-349-01,855296,a2f6c9f7-87dc-7428-e053-2995a90a1de6
7219,62559011107,62559-111,62559-111-07,102250,a307448a-ccc4-41a8-977a-11f28f0bded9
7221,75109000101,75109-001,75109-001-01,1038558,a30e1e00-5f74-8eeb-e053-2995a90a19d1
7240,17478071810,17478-718,17478-718-10,860805,a31f80f5-2a31-4c4c-85a4-5e597c6e2f8e
7241,63187060030,63187-600,63187-600-30,866924,a3209878-e763-4a53-9c2b-ad39535f385c
7245,53002311301,53002-3113,53002-3113-1,198014,a3323509-1fa4-41e5-893d-ac3f7ac02ccd
7251,00363081101,0363-0811,0363-0811-01,1085798,a33aa2f3-9e9e-4408-b671-508c79a29c06
7256,00228263611,0228-2636,0228-2636-11,310433,a33dd4d8-7d6e-4d15-ae49-9c400059c794
7258,00228263711,0228-2637,0228-2637-11,310434,a33dd4d8-7d6e-4d15-ae49-9c400059c794
7260,17478028435,17478-284,17478-284-35,545236,a357d23d-1f10-44ce-a2fa-a6a5e03e7739
7261,68400048806,68400-488,68400-488-06,581662,a35bac9e-19bf-16c1-e053-2a95a90a483e
7262,75109000401,75109-004,75109-004-01,797544,a371297c-bb01-0182-e053-2a95a90af28c
7275,50383004004,50383-040,50383-040-04,312614,a3776c70-3d72-4792-8a13-8fcb0a711bc2
7276,62332047831,62332-478,62332-478-31,317094,a3782792-75c4-418d-be96-9071df475748
7278,75109000301,75109-003,75109-003-01,1307051,a3860740-3960-47de-e053-2995a90a6681
7291,59726073306,59726-733,59726-733-06,1298324,a397799d-46a6-447b-9498-17436d218e29
7293,51285012058,51285-120,51285-120-58,762002,a39bb616-9e84-4142-8450-824f88528906
7295,70721000830,70721-008,70721-008-30,238910,a3a53cb5-def6-4341-a84e-c6c5aec7f07a
