ndc11,ndc9,unit_price,year,generic_brand
51672137709,516721377,2.66107,2022,1
62332054946,623320549,2.66107,2022,1
66993088448,669930884,2.66107,2022,1
781718270,7817182,0.58786,2022,1
45802084601,458020846,0.58786,2022,1
51672136403,516721364,0.58786,2022,1
66993086948,669930869,0.58786,2022,1
68462030147,684620301,0.58786,2022,1
93630345,936303,2.0953,2022,1
45802085345,458020853,2.0953,2022,1
51672138409,516721384,2.0953,2022,1
62332066245,623320662,2.0953,2022,1
68308066245,683080662,2.0953,2022,1
72578011904,725780119,2.0953,2022,1
57844011001,578440110,8.50174,2022,0
57844011501,578440115,8.56038,2022,0
57844012001,578440120,8.61849,2022,0
57844013001,578440130,8.56081,2022,0
54092038301,540920383,6.84032,2022,0
54092038501,540920385,6.8183,2022,0
54092038701,540920387,6.84553,2022,0
54092038901,540920389,6.82097,2022,0
54092039101,540920391,6.84347,2022,0
54092038101,540920381,6.83653,2022,0
72912052530,729120525,11.12091,2022,0
72912053530,729120535,11.04239,2022,0
72912054530,729120545,11.08213,2022,0
72912055530,729120555,11.0269,2022,0
72912057030,729120570,10.99186,2022,0
72912058530,729120585,11.00426,2022,0
57844014001,578440140,2.19305,2022,0
57844014056,578440140,2.19305,2022,0
24592410,245924,9.42775,2022,0
24592505,245925,12.13349,2022,0
70000017801,700000178,0.01526,2022,1
70000021801,700000218,0.01526,2022,1
173069500,1730695,5.06842,2022,0
173069600,1730696,6.30036,2022,0
173069700,1730697,8.27356,2022,0
173071620,1730716,32.46319,2022,0
173071720,1730717,42.68837,2022,0
173071520,1730715,26.17902,2022,0
70165002030,701650020,14.64526,2022,0
70165002530,701650025,14.62629,2022,0
70165003030,701650030,14.62752,2022,0
70165000530,701650005,14.70045,2022,0
70165001030,701650010,14.68363,2022,0
70165001530,701650015,14.58368,2022,0
65862084928,658620849,0.19918,2022,1
65862084988,658620849,0.19918,2022,1
55513084301,555130843,675.05712,2022,0
55513084101,555130841,674.93583,2022,0
59310012906,593100129,401.92785,2022,0
59310013606,593100136,453.89,2022,0
59310081206,593100812,367.19667,2022,0
51759020210,517590202,427.40974,2022,0
51759020222,517590202,427.73037,2022,0
51759020410,517590204,429.2732,2022,0
17478023835,174780238,2.63638,2022,1
50991078490,509910784,0.64042,2022,1
50991078890,509910788,0.64046,2022,1
115170149,1151701,13.95479,2022,1
591271202,5912712,13.95479,2022,1
16714090701,167140907,13.95479,2022,1
16714090702,167140907,13.95479,2022,1
31722093502,317220935,13.95479,2022,1
42799011002,427990110,13.95479,2022,1
43598045202,435980452,13.95479,2022,1
69097023772,690970237,13.95479,2022,1
70710102106,707101021,13.95479,2022,1
72205005108,722050051,13.95479,2022,1
487990130,4879901,0.34947,2022,1
50383074120,503830741,2.3203,2022,1
66993001968,669930019,1.85855,2022,1
93317431,933174,2.97071,2022,1
45802008801,458020088,2.97071,2022,1
68180096301,681800963,2.97071,2022,1
54074287,540742,3.23495,2022,1
254100752,2541007,3.23495,2022,1
781729685,7817296,3.23495,2022,1
69097014260,690970142,3.23495,2022,1
72572001401,725720014,3.23495,2022,1
76282067942,762820679,3.23495,2022,1
378699152,3786991,0.13645,2022,1
